"ZIP","COOK_COUNTY_MUNICIPALITY","MORTGAGE_2016","MORTGAGE_2017","MORTGAGE_2018","MORTGAGE_2019","MORTGAGE_2020","MORTGAGE_2021","MORTGAGE_2022","MORTGAGE_2023","FORCLOSURE_2016","FORCLOSURE_2017","FORCLOSURE_2018","FORCLOSURE_2019","FORCLOSURE_2020","FORCLOSURE_2021","FORCLOSURE_2022","FORCLOSURE_2023","SINGLE_FAMILY","CONDOMINIUM","BUILDING_2TO4","BUILDING_5PLUS","ALL_RESIDENTIAL","SALES_2016","SALES_2017","SALES_2018","SALES_2019","SALES_2020","SALES_2021","SALES_2022","SALES_2023","OWNER_OCCUPIED","RENTER_OCCUPIED","TOTAL_HOUSEHOLDS","OWNER_OCCUPIED_COST_BURDENED","RENTER_OCCUPIED_COST_BURDENED","ALL_COST_BURDENED","SALE_2019"
"60067",Inverness,403,316,267,337,481,595,260,123,14,11,14,10,4,1,8,2,0.78,0.23,,,1.00,92,111,86,,97,160,121,68,0.98,0.02,2819,0.28,0.66,0.28,111
"60458",Justice,200,215,209,230,259,384,219,129,20,34,22,24,8,7,27,14,0.48,0.17,0.07,0.28,1.00,73,75,85,,78,109,88,58,0.53,0.47,4511,0.32,0.55,0.43,86
"60043",Kenilworth,159,131,94,116,152,227,105,67,4,4,1,1,2,1,,,0.94,0.01,0.02,0.03,1.00,53,67,49,,56,81,56,48,0.96,0.04,789,0.24,0.45,0.24,37
"60525",La Grange,853,646,557,685,1078,1181,544,341,18,26,19,16,6,6,7,12,0.65,0.17,0.06,0.12,1.00,223,261,234,,220,317,255,169,0.82,0.18,5791,0.22,0.49,0.27,228
"60526",La Grange Park,664,453,383,521,728,850,355,238,25,13,9,19,6,2,12,7,0.72,0.04,0.07,0.18,1.00,201,183,179,,171,240,184,152,0.74,0.26,5159,0.18,0.53,0.27,175
"60488",Lansing,749,780,762,756,796,1397,1036,758,149,177,141,164,45,15,118,98,0.70,0.08,0.05,0.17,1.00,483,546,517,,403,616,502,313,0.71,0.29,11179,0.29,0.50,0.35,499
"60439",Lemont,676,562,491,594,967,1038,462,253,23,19,17,18,9,4,12,12,0.87,0.02,0.05,0.06,1.00,224,255,238,,235,277,264,158,0.88,0.12,6235,0.19,0.50,0.23,231
"60712",Lincolnwood,480,405,319,390,520,686,306,181,12,21,24,16,7,6,20,5,0.88,0.09,0.04,0.00,1.00,134,171,157,,147,240,134,130,0.82,0.18,4669,0.34,0.63,0.39,146
"60411",Lynwood,186,174,144,174,221,348,259,179,48,70,68,54,21,8,38,31,0.75,0.11,0.06,0.07,1.00,95,99,87,,82,96,86,70,0.78,0.22,3282,0.27,0.52,0.33,89
"60534",Lyons,244,237,219,227,286,410,242,197,31,28,27,19,12,10,28,24,0.52,0.10,0.13,0.25,1.00,119,120,125,,106,113,120,86,0.65,0.36,4031,0.31,0.40,0.34,83
"60428",Markham,117,150,167,179,186,357,386,328,88,76,84,87,22,19,47,34,0.99,,0.00,0.00,1.00,142,183,172,,138,242,243,216,0.68,0.32,3703,0.36,0.86,0.51,180
"60443",Matteson,497,498,410,464,585,962,639,477,158,160,142,144,52,15,107,61,0.83,0.08,0.02,0.07,1.00,255,345,274,,200,280,253,192,0.76,0.24,7547,0.33,0.34,0.33,269
"60153",Maywood,316,385,450,441,455,631,556,369,124,116,118,115,50,26,129,74,0.64,0.02,0.19,0.15,1.00,241,260,310,,220,258,222,185,0.62,0.38,7672,0.33,0.56,0.41,277
"60160",Melrose Park,372,339,337,331,370,601,343,209,34,46,32,36,9,6,29,12,0.41,0.04,0.26,0.29,1.00,138,141,137,,93,171,145,94,0.55,0.45,8104,0.31,0.35,0.33,117
"60803",Merrionette Park,54,47,36,47,57,95,52,26,3,7,8,6,2,2,3,1,0.62,0.13,0.00,0.25,1.00,37,25,21,,20,38,26,10,0.78,0.22,990,0.31,0.36,0.32,28
"60445",Midlothian,424,385,371,409,385,768,480,359,75,68,69,60,13,10,47,34,0.74,0.07,0.03,0.16,1.00,227,214,227,,163,312,247,177,0.77,0.23,5747,0.27,0.78,0.39,213
"60053",Morton Grove,990,838,651,784,1157,1476,590,367,39,44,31,41,9,9,23,27,0.78,0.17,0.02,0.04,1.00,315,378,319,,310,404,292,212,0.87,0.14,9166,0.31,0.55,0.34,296
"60056",Mount Prospect,2103,1579,1388,1686,2497,3060,1269,783,56,66,58,65,20,16,50,22,0.58,0.19,0.01,0.22,1.00,597,555,564,,553,759,552,400,0.70,0.30,21917,0.21,0.46,0.28,586
"60714",Niles,987,836,726,813,1179,1495,584,389,57,42,45,33,14,6,29,15,0.63,0.19,0.05,0.13,1.00,309,317,314,,322,410,270,223,0.77,0.24,11332,0.29,0.53,0.35,311
"60706",Norridge,500,432,363,469,556,733,331,207,25,24,14,33,4,7,25,11,0.78,0.11,0.04,0.07,1.00,215,192,174,,158,242,178,145,0.83,0.17,5865,0.27,0.41,0.29,194
"60546",North Riverside,254,217,195,232,280,416,184,145,10,12,13,14,3,2,12,10,0.66,0.02,0.07,0.24,1.00,90,116,92,,64,132,86,77,0.67,0.33,2938,0.28,0.54,0.35,83
"60062",Northbrook,1940,1421,1118,1491,2384,2672,954,544,53,39,42,35,15,16,19,21,0.78,0.17,0.00,0.06,1.00,530,560,503,,456,673,486,361,0.87,0.13,13481,0.25,0.52,0.28,499
"60093",Northfield,342,258,210,280,361,495,210,108,6,12,8,7,1,3,2,4,0.75,0.22,0.01,0.02,1.00,98,91,79,,111,153,108,77,0.92,0.08,2340,0.26,0.75,0.29,93
"60164",Northlake,265,280,249,261,293,463,253,152,38,31,34,28,9,5,27,18,0.72,0.15,0.03,0.10,1.00,121,156,152,,106,152,100,82,0.67,0.33,4539,0.25,0.56,0.34,129
"60452",Oak Forest,920,769,744,898,1053,1541,868,570,91,100,97,74,21,18,68,42,0.72,0.14,0.01,0.13,1.00,362,401,431,,337,497,392,253,0.80,0.20,10165,0.23,0.41,0.27,384
"60453",Oak Lawn,1850,1688,1543,1770,2109,3182,1701,1262,177,209,142,148,42,26,117,90,0.66,0.22,0.04,0.08,1.00,729,763,773,,658,930,661,539,0.82,0.18,21984,0.29,0.56,0.34,725
"60302",Oak Park,2535,1943,1600,1753,2794,3377,1535,947,87,86,89,95,30,21,64,39,0.40,0.19,0.08,0.32,1.00,650,561,541,,519,769,611,455,0.60,0.41,23345,0.26,0.42,0.33,471
"60461",Olympia Fields,173,179,156,185,222,313,190,136,49,39,39,43,18,2,31,25,0.98,0.02,,,1.00,97,99,104,,104,109,76,76,0.87,0.13,1856,0.43,0.92,0.50,129
"60487",Orland Hills,247,192,169,178,253,382,134,101,21,21,19,11,5,,11,8,0.80,0.07,,0.13,1.00,82,84,96,,79,101,69,40,0.80,0.20,2330,0.23,0.55,0.30,80
"60462",Orland Park,2301,1858,1652,1824,2660,3318,1567,1056,111,105,88,83,36,19,60,48,0.70,0.24,0.02,0.04,1.00,701,703,759,,691,907,679,556,0.86,0.14,22980,0.28,0.57,0.32,663
"60067",Palatine,2852,2220,1831,2262,3219,4284,1818,1036,120,127,113,96,23,21,75,32,0.52,0.36,0.01,0.10,1.00,733,784,685,,668,1032,726,469,0.68,0.33,26582,0.23,0.47,0.31,747
"60463",Palos Heights,501,370,348,430,581,771,338,212,11,27,16,16,7,,8,12,0.70,0.29,0.00,0.00,1.00,143,139,144,,143,189,141,105,0.95,0.05,4553,0.26,0.43,0.26,190
"60465",Palos Hills,519,472,438,488,673,871,467,295,50,40,42,39,15,11,26,21,0.54,0.39,0.03,0.04,1.00,176,137,185,,152,197,161,131,0.79,0.21,7356,0.26,0.45,0.29,160
"60463",Palos Park,200,146,150,192,244,314,138,83,7,10,8,16,,4,12,7,0.89,0.11,0.00,,1.00,72,78,83,,86,106,80,63,0.91,0.09,2000,0.26,0.72,0.30,91
"60466",Park Forest,251,290,350,344,364,732,701,612,138,150,108,110,41,41,88,80,0.87,0.07,0.00,0.07,1.00,249,278,326,,247,461,393,324,0.61,0.39,7976,0.24,0.48,0.33,296
"60068",Park Ridge,1914,1400,1180,1544,2385,2789,1110,656,37,56,43,33,11,6,35,26,0.73,0.17,0.03,0.07,1.00,566,586,536,,550,771,546,413,0.85,0.15,15234,0.24,0.40,0.26,553
"60426",Phoenix,11,5,9,20,7,20,28,33,12,10,10,10,2,1,11,3,0.86,,0.10,0.04,1.00,17,16,14,,10,20,19,32,0.62,0.38,633,0.39,0.54,0.44,22
"60469",Posen,87,85,87,105,83,146,112,86,29,31,25,23,7,3,13,10,0.84,0.00,0.13,0.03,1.00,58,67,58,,43,55,66,53,0.81,0.19,1607,0.24,0.87,0.37,65
"60070",Prospect Heights,496,395,358,425,516,742,327,221,22,26,20,17,7,6,17,18,0.36,0.48,0.00,0.16,1.00,110,107,111,,101,148,96,78,0.66,0.34,6286,0.29,0.37,0.32,99
"60471",Richton Park,264,286,254,256,301,471,391,337,110,108,111,85,38,12,52,32,0.66,0.05,0.01,0.29,1.00,176,224,185,,142,175,183,167,0.51,0.50,5075,0.29,0.54,0.42,167
"60305",River Forest,634,492,427,505,720,939,366,232,14,10,17,7,3,3,8,4,0.63,0.28,0.04,0.06,1.00,147,167,164,,154,207,141,99,0.88,0.12,4341,0.28,0.61,0.32,131
"60171",River Grove,277,256,215,254,278,439,219,144,23,22,15,20,5,5,14,15,0.43,0.13,0.07,0.37,1.00,97,114,86,,66,138,85,70,0.60,0.40,3822,0.38,0.39,0.39,97
"60827",Riverdale,73,82,90,104,107,188,195,228,101,78,70,57,26,14,42,33,0.51,0.02,0.07,0.40,1.00,92,99,135,,95,139,132,139,0.49,0.51,3803,0.46,0.69,0.57,140
"60546",Riverside,412,391,312,354,583,668,307,182,17,17,17,16,4,7,8,10,0.70,0.09,0.09,0.12,1.00,128,165,143,,165,185,134,106,0.85,0.15,3386,0.30,0.20,0.29,125
"60472",Robbins,21,15,23,28,17,29,44,47,16,20,12,11,6,4,11,10,0.80,,0.09,0.12,1.00,19,21,30,,17,51,48,34,0.59,0.41,1432,0.39,0.46,0.42,41
"60008",Rolling Meadows,875,720,646,743,1023,1388,648,358,38,54,38,44,18,5,45,25,0.65,0.30,0.00,0.05,1.00,283,256,289,,234,376,250,190,0.72,0.28,9170,0.27,0.40,0.30,258
"60172",Roselle,967,832,697,793,1291,1420,582,362,46,33,20,30,12,11,23,24,0.62,0.24,,0.14,1.00,50,43,39,,28,53,37,21,0.78,0.22,8668,0.26,0.41,0.29,40
"60018",Rosemont,66,49,74,55,87,110,70,40,2,2,2,3,1,1,,,0.30,0.17,0.03,0.51,1.00,11,8,14,,8,21,12,11,0.22,0.78,1582,0.28,0.20,0.22,6
"60411",Sauk Village,102,104,105,135,102,263,287,296,73,54,61,41,18,11,41,27,0.96,0.00,0.01,0.04,1.00,158,182,161,,110,223,254,211,0.56,0.44,3091,0.33,0.68,0.48,158
"60193",Schaumburg,2973,2472,2084,2460,3294,4602,1874,1216,136,124,106,95,28,20,89,56,0.49,0.38,0.00,0.13,1.00,685,725,675,,594,832,609,478,0.61,0.39,31977,0.24,0.35,0.28,677
"60176",Schiller Park,272,219,216,268,254,447,231,172,22,14,20,19,9,8,12,7,0.46,0.20,0.10,0.24,1.00,104,85,87,,50,112,89,77,0.57,0.43,4311,0.29,0.53,0.39,103
